	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_12plus_only_first	pct_12plus_first	pct_12plus_second	pct_12plus_tot
0	2020-01-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2020-01-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2020-01-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	2020-01-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	2020-01-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	2020-01-30	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2020-01-31	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2020-02-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	2020-02-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	2020-02-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2020-02-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	2020-02-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	2020-02-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	2020-02-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	2020-02-08	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	2020-02-09	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	2020-02-10	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	2020-02-11	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	2020-02-12	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	2020-02-13	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	2020-02-14	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	2020-02-15	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	2020-02-16	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	2020-02-17	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	2020-02-18	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	2020-02-19	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
